frame,class,conf,x1,y1,x2,y2
203,0,0.8989,1867,630,1906,667
203,0,0.1376,960,399,976,416
204,0,0.8989,1867,630,1906,667
204,0,0.4399,956,397,974,415
205,0,0.8975,1867,630,1906,668
205,0,0.1233,954,395,974,417
206,0,0.8960,1867,630,1906,668
207,0,0.8999,1867,630,1906,667
207,0,0.4587,945,393,962,414
208,0,0.9004,1867,631,1906,667
209,0,0.9004,1867,630,1906,667
209,0,0.5410,817,426,835,443
209,0,0.1078,358,567,378,590
210,0,0.8984,1867,630,1906,667
210,0,0.7417,814,417,832,434
211,0,0.8989,1867,630,1906,667
212,0,0.8989,1867,631,1906,667
212,0,0.4443,802,403,823,424
212,0,0.2290,988,416,1006,435
213,0,0.9004,1867,630,1906,667
213,0,0.8257,797,400,816,418
214,0,0.8989,1867,631,1906,667
214,0,0.8232,792,396,812,416
215,0,0.8960,1867,630,1906,667
215,0,0.5410,788,391,807,412
215,0,0.1260,990,416,1007,435
216,0,0.8960,1867,631,1906,667
216,0,0.2976,991,416,1008,435
217,0,0.8975,1867,631,1906,667
217,0,0.1656,991,416,1009,435
218,0,0.8989,1867,630,1906,667
218,0,0.3108,966,402,983,416
219,0,0.8989,1867,631,1906,667
220,0,0.8989,1867,631,1906,667
221,0,0.8999,1867,631,1906,667
222,0,0.8989,1867,631,1906,667
223,0,0.8965,1867,631,1906,667
223,0,0.1002,748,402,766,419
224,0,0.8984,1867,631,1906,667
224,0,0.2366,984,403,1001,421
225,0,0.8984,1867,631,1906,667
225,0,0.2854,984,401,1002,420
226,0,0.8960,1867,631,1906,667
226,0,0.2727,738,418,758,436
226,0,0.2126,985,401,1003,419
227,0,0.8975,1867,631,1906,667
228,0,0.8965,1867,631,1906,667
229,0,0.8960,1867,630,1906,667
230,0,0.8960,1867,630,1906,667
230,0,0.1608,634,402,653,420
230,0,0.1366,989,400,1008,417
231,0,0.8960,1867,630,1906,667
231,0,0.1221,634,402,654,420
232,0,0.8965,1867,630,1906,667
232,0,0.1486,994,400,1012,418
233,0,0.8960,1867,631,1906,667
